authors,title,source_title,issn,doi,year,base,journal_title,h_index,avaliador,situacao
Schneiberg M.; Parmentier E.,banking structure economic resilience and unemployment trajectories in us counties during the great recession,socio-economic review,14751461,10.1093/ser/mwaa039,2022,scopus,Socio-Economic Review,69,Davi,aceito
Abate T.M.; Mekie T.M.; Dessie A.B.,analysis of speed of improved maize bh540 variety adoption among smallholder farmers in northwestern ethiopia count outcome model,heliyon,24058440,10.1016/j.heliyon.2022.e10916,2022,scopus,Heliyon,69,Davi,rejeitado
Plakias Z.; Jodlowski M.; Giamo T.; Kavousi P.; Taylor K.,on the money characterizing banking and lending in the california cannabis industry,agricultural finance review,21466,10.1108/AFR-06-2021-0075,2022,scopus,Agricultural Finance Review,31,Davi,duvida
Gez Y.N.; Fouéré M.-A.; Bulugu F.,telling ruins the afterlives of an early postindependence development intervention in lake victoria tanzania,journal of modern african studies,0022278X,10.1017/S0022278X22000180,2022,scopus,Journal of Modern African Studies,63,Davi,
Zaiats T.; Kraievska H.; Diakonenko O.,social capital of rural territorial communities in ukraine problems of strengthening and directions of their solution,agricultural and resource economics,2414584X,10.51599/are.2022.08.02.09,2022,scopus,Agricultural and Resource Economics,5,Davi,
Virgilio G.P.M.; Caro N.L.M.; Sarmiento R.N.M.; Rivera J.D.; Díaz I.R.,credit risk and profitability of shortterm deposit at savings and credit cooperatives the case of peru riesgo crediticio y rentabilidad de depósitos a corto plazo en las cooperativas de ahorro y crédito el caso de perú,revesco revista de estudios cooperativos,11356618,10.5209/REVE.84396,2022,scopus,REVESCO Revista de Estudios Cooperativos,13,Davi,
Crepaz M.; Hanegraaff M.,dont bite the hand that feeds you do critical interest organizations gain less funding in the eu,european political science review,17557739,10.1017/S1755773922000145,2022,scopus,European Political Science Review,42,Davi,
Diakité D.; Royer A.; Rousselière D.; Tamini L.D.,formal and informal governance mechanisms of machinery cooperatives the case of quebec,journal of co-operative organization and management,2213297X,10.1016/j.jcom.2022.100181,2022,scopus,Journal of Co-operative Organization and Management,17,Davi,
Bareith T.; Tatay T.; Varga J.,the impact of changes in financial supervision on the profitability of the hungarian banking sector,economies,22277099,10.3390/economies10070176,2022,scopus,Economies,25,Davi,
Ushanov A.E.,internal procedures of the riskoriented lending process in the bank,risk management and insurance review,10981616,10.1111/rmir.12204,2022,scopus,Risk Management and Insurance Review,19,Davi,
