key,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract,notes,doi,keywords
1,cooperative governance under increasing member diversity: towards a new theoretical framework,"Iliopoulos, C; Valentinov, V",SCANDINAVIAN JOURNAL OF MANAGEMENT,0956-5221,38,1,,2022,ELSEVIER SCI LTD,http://dx.doi.org/10.1016/j.scaman.2021.101192,Abstract,,10.1016/j.scaman.2021.101192,Cooperatives; Organizational boundaries; Heterogeneity; Systems theory
3,risk management and cost management in the agricultural cooperatives of rio grande do sul - rs,"De Gregori, R; Flores, SAM",CUSTOS E AGRONEGOCIO,1808-2882,7,1,38-55,2011,"UNIV FED RURAL PERNAMBUCO, DEPT LETRAS CIENCIAS HUMANAS",,"In advancing the notion of stakeholder capitalism, the great reset of management and organization theory must address governance implications of stakeholder heterogeneity. The paper contributes to this task by focusing on the governance of agricultural cooperatives whose members often have heterogeneous preferences. The key novel idea is to conceptualize cooperative governance in the light of the proposed distinction between the core and peripheral activities of cooperatives. While core activities are based on members' truly common interests, peripheral activities include all else. This approach allows tracing governance challenges of agricultural co-operatives back to the inflation of peripheral activities. Based on this approach, cooperative managers and members are advised to minimize these activities and to draw clear boundaries between core and periphery.",,,Risk management; Cost management; Agricultural cooperatives
5,efficiency evaluation of agricultural cooperatives in mpumalanga an empirical study using the dea approach,"Xaba, ST; Marwa, N; Mathur-Helm, B",AFRICAN JOURNAL OF ECONOMIC AND MANAGEMENT STUDIES,2040-0705,11,1,51-62,2020,EMERALD GROUP PUBLISHING LTD,http://dx.doi.org/10.1108/AJEMS-10-2018-0291,"The cooperative movement is na importante issue, witch seeks to establish bonds of cooperation and strenghen the humam capital. Thus, this study sought to determine how to present risk management and cost management in the agricultural cooperatives of Rio Grande do Sul. Therefore, we used a descriptive research, witch there were collected quantitative and qualitative data. The population chosen comprised cooperatives registered with the FECOAGRO. The ccoperatives that responded to the survey, formed a purposive sample was studied. The results obtained could be detected in relation to risk management, cooperatives still shows a conservatrive behavior, because in some situations fail to invest or encourage the production due to the risks involved in transactions, especially financial. Also, they do not have any specific risk business control, or risk management is not yet worked out with emphasis by agricultural cooperatives. Already, analyzing cost management, there is a more active stance. It was found that cooperatives employ cost controls, methods of costing and management controls that help into the decision making process. Cooperatives have shown that they area ware of the importance of cost control, witch represents a very positive aspect.",,10.1108/AJEMS-10-2018-0291,South Africa; Data Envelopment Analysis (DEA); Scale efficiency; Technical efficiency; Agricultural cooperatives; Mpumalanga
6,on decision making process in agricultural cooperatives,"Nesetrilová, H; Rímovská, P",AGRARIAN PERSPECTIVES,,,,397-402,2011,CZECH UNIVERSITY LIFE SCIENCES PRAGUE,,"Purpose The purpose of this paper is to analyse performance (on efficiency) of agricultural cooperatives in Mpumalanga province, South Africa, using Data Envelopment Analysis (DEA). The empirical investigation is motivated by the dearth of empirical literature on agricultural cooperatives' performance measurement and its correlates. Design/methodology/approach The study employed DEA and applied the input minimisation constraint. The authors used the data from 19 agricultural cooperatives which had complied with reporting on their annual financial statements (AFS) in the financial year 2014/2015. The input variables were total assets and total expenses, and the output variables were revenue and profit. Findings The average technical efficiency was found to be 72 per cent efficient indicating the presence of 28 per cent resource wastages. Of the 19 decision-making units, only 5 (26 per cent) were 100 per cent efficient. It should be noted that the 26 per cent that were technically efficient were also operating at constant returns to scale (optimal resource allocation). Originality/value The study was necessitated by the continued focus on government based on the cooperatives, as there is a dearth of empirical literature separating managers' reports and empirically proven studies/results.",,,management of agricultural cooperatives; decision making; multicriteria evaluation; social choice procedures
4,coordinating advertising and pricing in a manufacturer-retailer channel,"Xie, JX; Wei, JC",EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,0377-2217,197,2,785-791,2009,ELSEVIER SCIENCE BV,http://dx.doi.org/10.1016/j.ejor.2008.07.014,"An important part of the decision making and management process in collective farms is carried out by farm board teams. They decide on big investment plans for the coming year as well as on many less important items like purchase price of pork and corn or service workshops and transport. The decision-making process nevertheless remains the same: they use statistical voting system to accept (or refuse) individual items. In standard situation of limited financial resources they have to create preference lists of individual items. This paper deals with mathematical properties of such preference lists and their comparison to statistical voting. If a board is to decide between two alternatives a and b, usually the majority rule procedure is applied and the alternative with the most votes is declared a winner. From mathematical point of view the majority rule properties were formulated by May (1952), who showed that if the number of board members is odd and each election procedure produces a unique winning item then the majority rule is the only so called social choice procedure for two alternatives that satisfies the following three conditions: it treats all the board members the same, it treats both alternatives the same and it is monotone. Nevertheless, if there are more than two possible choices, the situation is completely different. The inner structure of the problem is very rich and needs more detailed research. The situation is demonstrated on voting for investment items of the agricultural marketing cooperative Mrakov in South Bohemia.",,10.1016/j.ejor.2008.07.014,Marketing; Cooperative advertising; Game theory; Supply chain coordination; Pricing
7,robust production allocation model for an agricultural cooperative with yield uncertainty and similar revenue constraints,"Pakawanich, P; Udomsakdigool, A; Khompatraporn, C",COMPUTERS AND ELECTRONICS IN AGRICULTURE,0168-1699,168,,-,2020,ELSEVIER SCI LTD,http://dx.doi.org/10.1016/j.compag.2019.105090,"Cooperative advertising is a practice that a manufacturer pays retailers a portion of the local advertising cost in order to induce sales. Cooperative advertising plays a significant role in marketing programs of channel members. Nevertheless, most studies to date on cooperative advertising have assumed that the market demand is only influenced by advertising expenditures but not by retail price. This paper addresses channel coordination by seeking optimal cooperative advertising strategies and equilibrium pricing in a two-member distribution channel. We establish and compare two models: a non-cooperative, leader-follower game and a cooperative game. We develop propositions and insights from the comparison of these models. The cooperative model achieves better coordination by generating higher channel-wide profits than the non-cooperative model with these features: (a) the retailer price is lower to consumers; and (b) the advertising efforts are higher for all channel members. We identify the feasible solutions to a bargaining problem where the channel members can determine how to divide the extra profits. (C) 2008 Elsevier B.V. All rights reserved.",,10.1016/j.compag.2019.105090,Robust optimization; Crop production planning; Similar revenue constraint; Yield uncertainty; Agricultural cooperative
8,accounting reform of agricultural cooperatives: a boost to improve efficiency of accounting system of financial information,"López, AR; Antonio, JMA; Rodríguez, GS",AFRICAN JOURNAL OF AGRICULTURAL RESEARCH,1991-637X,6,25,5600-5605,2011,ACADEMIC JOURNALS,http://dx.doi.org/10.5897/AJAR11.495,"Crop production planning (CPP) is a complex task as it often encompasses numerous decision variables and uncertainties. This paper presents a robust crop production model applied to an agricultural cooperative. The objective of the model is to maximize the total revenue of the cooperative. The social aspect is addressed through a similarity in farmer revenues. Moreover, crop yield uncertainty, which results from the difference in skills of the farmers, is integrated in the robust model. The crop production plan must satisfy the market demand for each crop. Consequently, crop production that exceeds the demand is penalized. The models are solved by an optimization software, and the results indicate that when the model robustness increases, the value of the objective function decreases. However, the decision maker can make a decision tradeoff between the probability of constraint satisfaction and the value of the objective function. Finally, the managerial recommendations are discussed.",,10.5897/AJAR11.495,Agricultural cooperatives; accounting reform; sector accounting plan; financial information; international financial reporting standards
11,member deliveries in collective marketing relationships: evidence from coffee cooperatives in costa rica,"Wollni, M; Fischer, E",EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,0165-1587,42,2,287-314,2015,OXFORD UNIV PRESS,http://dx.doi.org/10.1093/erae/jbu023,"This paper is based on the fact that the adoption of the current general accounting plan (PGC) 2007 and its entry into force in 2008 has changed the framework for the standardized presentation of accounting information of Spanish agricultural cooperatives. So, the sector accounting adjustment for the cooperative entities contained in the Order of December 16, 2003 has required a deep review under the amendments made by the PGC 2007, since a large part of its content was obsolete or was contrary to the new rules of PGC 2007, which has resulted in the adoption of a new accounting regulation specific to the cooperative sector, which entered into force on January 1, 2011. Thus, this study develops a comparative analysis between the two regulatory standards, in order to check whether it has increased the usefulness of the accounting system as a tool for decision making in the field of agricultural cooperation, so as to raise the effectiveness and efficiency of economic management of these specific entities.",,10.1093/erae/jbu023,cooperatives; patronage; side-selling; coffee; Costa Rica
10,dimensions of member heterogeneity in cooperatives and their impact on organization - a literature review,"Höhler, J; Kühl, R",ANNALS OF PUBLIC AND COOPERATIVE ECONOMICS,1370-4788,89,4,696-712,2018,WILEY,http://dx.doi.org/10.1111/apce.12177,"This article investigates member deliveries in agricultural marketing cooperatives. Since cooperatives depend on members' contributions to achieve efficiency in processing and marketing, side-selling by members poses a threat to the economic viability of cooperatives in the long run. We develop a model for the farmers' marketing decision that relates farm size to the share of produce delivered to the cooperative. Based on survey data from cooperatively organised coffee farmers in Costa Rica, we find that the share delivered to cooperatives decreases with farm size, albeit at a decreasing rate. The empirical results thus confirm the theoretical model prediction of a u-shaped relationship between farm size and member deliveries.",,10.1111/apce.12177,member heterogeneity; cooperatives; organization
9,entrepreneurial intention among rural youth in moroccan agricultural cooperatives: the future of rural entrepreneurship,"Bouichou, E; Abdoulaye, T; Allali, K; Bouayad, A; Fadlaoui, A",SUSTAINABILITY,,13,16,-,2021,MDPI,http://dx.doi.org/10.3390/su13169247,"Member heterogeneity is often seen as a disadvantage of cooperatives. Though, a comprehensive understanding of member heterogeneity, its dimensions and impacts on member interests, organizations and their performance is still missing. The following literature review is intended to summarize the existing literature on member heterogeneity with a focus on agricultural cooperatives in order to provide further areas of research. Different dimensions of heterogeneity are identified and ways of measuring their impact on cooperative organization are proposed.",,10.3390/su13169247,agribusiness; agricultural cooperative; entrepreneurial intention; logistic regression; rural development; youth entrepreneurship
