authors,title,source_title,issn,doi,year,base
Schneiberg M.; Parmentier E.,banking structure economic resilience and unemployment trajectories in us counties during the great recession,Socio-Economic Review,14751461,10.1093/ser/mwaa039,2022,scopus
Abate T.M.; Mekie T.M.; Dessie A.B.,analysis of speed of improved maize bh540 variety adoption among smallholder farmers in northwestern ethiopia count outcome model,Heliyon,24058440,10.1016/j.heliyon.2022.e10916,2022,scopus
Plakias Z.; Jodlowski M.; Giamo T.; Kavousi P.; Taylor K.,on the money characterizing banking and lending in the california cannabis industry,Agricultural Finance Review,00021466,10.1108/AFR-06-2021-0075,2022,scopus
Gez Y.N.; Fouéré M.-A.; Bulugu F.,telling ruins the afterlives of an early postindependence development intervention in lake victoria tanzania,Journal of Modern African Studies,0022278X,10.1017/S0022278X22000180,2022,scopus
Zaiats T.; Kraievska H.; Diakonenko O.,social capital of rural territorial communities in ukraine problems of strengthening and directions of their solution,Agricultural and Resource Economics,2414584X,10.51599/are.2022.08.02.09,2022,scopus
Virgilio G.P.M.; Caro N.L.M.; Sarmiento R.N.M.; Rivera J.D.; Díaz I.R.,credit risk and profitability of shortterm deposit at savings and credit cooperatives the case of peru riesgo crediticio y rentabilidad de depósitos a corto plazo en las cooperativas de ahorro y crédito el caso de perú,REVESCO Revista de Estudios Cooperativos,11356618,10.5209/REVE.84396,2022,scopus
Crepaz M.; Hanegraaff M.,dont bite the hand that feeds you do critical interest organizations gain less funding in the eu,European Political Science Review,17557739,10.1017/S1755773922000145,2022,scopus
Diakité D.; Royer A.; Rousselière D.; Tamini L.D.,formal and informal governance mechanisms of machinery cooperatives the case of quebec,Journal of Co-operative Organization and Management,2213297X,10.1016/j.jcom.2022.100181,2022,scopus
Bareith T.; Tatay T.; Varga J.,the impact of changes in financial supervision on the profitability of the hungarian banking sector,Economies,22277099,10.3390/economies10070176,2022,scopus
Ushanov A.E.,internal procedures of the riskoriented lending process in the bank,Risk Management and Insurance Review,10981616,10.1111/rmir.12204,2022,scopus
Ayilu R.K.; Nyiawung R.A.,illuminating informal crossborder trade in processed small pelagic fish in west africa,Maritime Studies,18727859,10.1007/s40152-022-00284-z,2022,scopus
Ngango J.,does womens empowerment improve yields and income evidence from rice farmers in rwanda,Asian Journal of Agriculture and Rural Development,23041455,10.55493/5005.v12i3.4602,2022,scopus
Feyeh F.,local cooperatives´ contribution to realising a green economy in nature parks in luxembourg,Parks,0960233X,10.2305/IUCN.CH.2022.PARKS-28-2FF.en,2022,scopus
Bailey C.; Sokolowski M.,lender financial reporting incentives and loan prioritization during the paycheck protection program,Managerial Finance,03074358,10.1108/MF-11-2021-0530,2022,scopus
Sonvanee O.P.; Nightingale Devi B.; Sharma S.; Mohale H.P.,synthesis of fisheries business success models under public and private sector in chhattisgarh india,Economic Affairs (New Delhi),04242513,10.46852/0424-2513.2.2022.13,2022,scopus
Zheng X.,the coordination of multistage discounts in a dual channel fresh agricultural produce supply chain minimizing the loss of quantity and quality,Sustainability (Switzerland),20711050,10.3390/su14042174,2022,scopus
Uddin M.E.; Pervez A.K.M.K.; Gao Q.,effect of voluntary cooperativisation on livelihood capital of smallholder dairy farmers in the southwest of bangladesh,GeoJournal,03432521,10.1007/s10708-020-10218-z,2022,scopus
Onyeneke R.U.; Amadi M.U.; Njoku C.L.,climate change adaptation strategies by rice processors in ebonyi state nigeria,Ekologia Bratislava,1335342X,10.2478/eko-2022-0029,2022,scopus
Purmiyati A.; Handoyo R.D.; Wisudanto,technical efficiency analysis management factor as determinants of saving and credit cooperatives health,Journal of Co-operative Organization and Management,2213297X,10.1016/j.jcom.2022.100186,2022,scopus
Shirima V.,critical success factors for the better performance of agricultural marketing cooperative societies in rombo district tanzania are members aware of them,Cogent Business and Management,23311975,10.1080/23311975.2022.2144703,2022,scopus
Adžić S.,a millennium of peace and development without wars in human history vinča culture,Peace Review,10402659,10.1080/10402659.2022.2115290,2022,scopus
Lee S.-H.; Kang H.-J.; Lee S.-Y.,the influence of board diversity and board conflict on performance in consumer cooperatives in south korea,Journal of Entrepreneurial and Organizational Diversity,22818642,10.5947/jeod.2022.003,2022,scopus
Tetyana N.,cooperation of financial institutions and facilities of nature reserve fund basic economytheoretic aspects,Economic Alternatives,13127462,10.37075/EA.2022.2.04,2022,scopus
Mashange G.; Featherstone A.M.; Briggeman B.C.,evaluating changes in credit rating quality of us farmer cooperatives,Journal of Co-operative Organization and Management,2213297X,10.1016/j.jcom.2021.100153,2022,scopus
Brushwood J.D.; Hall C.M.; Lusch S.J.,credit unions and earnings management to mitigate political scrutiny over taxexempt status,Journal of Accounting and Public Policy,02784254,10.1016/j.jaccpubpol.2021.106907,2022,scopus
