Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Jin, SZ; Jia, XP; James, HS",,,,"Jin, Shaoze; Jia, Xiangping; James, Harvey S.",,,Risk attitudes within farmer cooperative organizations: Evidence from China's fresh apple industry,ANNALS OF PUBLIC AND COOPERATIVE ECONOMICS,,,English,Article,,,,,,apple farmers; China; cooperatives; economic organization; risk attitudes,AGRICULTURAL COOPERATIVES; DECISION-MAKING; PREFERENCES; AVERSION; CHOICE; TRUST; UNCERTAINTY; STRATEGIES; ECONOMICS; NETWORKS,"We consider whether participation in cooperative organizations known as Farm Bases correlates with a farmer's risk attitudes in China. Specifically, we seek to determine if farmers see cooperative-like organizations as a means of reducing risk or as a way of accessing riskier opportunities. Using data from a risk experiment involving 348 apple farmers, we estimate risk attitudes and correlate those indicators with participation in Farm Bases and other controls. In the case of Chinese apple producers, we find that considerations of risk are an important feature of organizational forms that involve collective decision-making, although the correlation between risk and cooperative organizational participation is nuanced.","[Jin, Shaoze] Leibniz Univ Hannover, Inst Dev & Agr Econ, Hannover, Germany; [Jia, Xiangping] Chinese Acad Agr Sci, Agr Informat Inst, Beijing, Peoples R China; [James, Harvey S.] Univ Missouri, Div Appl Social Sci, Columbia, MO 65211 USA","Leibniz University Hannover; Chinese Academy of Agricultural Sciences; Agriculture Information Institute, CAAS; University of Missouri System; University of Missouri Columbia","James, HS (corresponding author), Univ Missouri, Div Appl Social Sci, Columbia, MO 65211 USA.",hjames@missouri.edu,"James, Harvey/V-4021-2019","James, Harvey/0000-0003-0189-271X","National Natural Science Foundation of China [71573209, 71661147001]; National Key Research and Development Program of China [2016YFD0201303]; National Social Science Foundation [16ZDA021]; United States Department of Agriculture Hatch [MO-AC011AC047]",National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)); National Key Research and Development Program of China; National Social Science Foundation; United States Department of Agriculture Hatch(United States Department of Agriculture (USDA)),"National Natural Science Foundation of China, Grant/Award Numbers: 71573209, 71661147001; National Key Research and Development Program of China, Grant/Award Number: 2016YFD0201303; National Social Science Foundation, Grant/Award Number: 16ZDA021; United States Department of Agriculture Hatch, Grant/Award Number: MO-AC011AC047",,65,3,3,0,28,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",1370-4788,1467-8292,,ANN PUBLIC COOP ECON,Ann. Public Coop. Econ.,JUN,2021,92,2,,,,,173,205,,10.1111/apce.12287,http://dx.doi.org/10.1111/apce.12287,,SEP 2020,33,Economics,Social Science Citation Index (SSCI),Business & Economics,RY0WE,,,,,2023-10-16,WOS:000568402600001,View Full Record in Web of Science
J,"Nilsson, J",,,,"Nilsson, Jerker",,,Governance costs and the problems of large traditional co-operatives,OUTLOOK ON AGRICULTURE,,,English,Article,,,,,,governance cost; traditional co-operative; co-operative conversion; hybrid co-operative; co-operative governance,AGRICULTURAL COOPERATIVES; OWNERSHIP STRUCTURE; CONTROL RIGHTS; MEMBERS; INVOLVEMENT; FUTURE; MODELS,"During recent decades, there have been many failures among large and complex agricultural co-operatives with a traditional organizational structure, that is, with mainly collective governance and collective ownership. Many co-operatives have been converted into the so-called hybrid co-operatives, owned together with external financiers. This article applies governance cost theory to explain this development. The results show that members are not able to govern a collectively owned firm that is large and complex; members are thus reluctant to invest in co-operatives; and members do not perceive that co-operatives benefit them economically. Thus, strong leaders take control and non-member investors gain ownership and influence.","[Nilsson, Jerker] Swedish Univ Agr Sci, Dept Econ, Uppsala, Sweden",Swedish University of Agricultural Sciences,"Nilsson, J (corresponding author), Swedish Univ Agr Sci, POB 7013, S-75007 Uppsala, Sweden.",jerker.nilsson@slu.se,,,,,,,41,12,13,1,14,SAGE PUBLICATIONS LTD,LONDON,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND",0030-7270,2043-6866,,OUTLOOK AGR,Outlook Agric.,JUN,2018,47,2,,,,,87,92,,10.1177/0030727018761175,http://dx.doi.org/10.1177/0030727018761175,,,6,"Agriculture, Multidisciplinary",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Agriculture,GM9VN,,Green Accepted,,,2023-10-16,WOS:000438603200003,View Full Record in Web of Science
J,"Iliopoulos, C; Valentinov, V",,,,"Iliopoulos, Constantine; Valentinov, Vladislav",,,Cooperative governance under increasing member diversity: Towards a new theoretical framework,SCANDINAVIAN JOURNAL OF MANAGEMENT,,,English,Article,,,,,,Cooperatives; Organizational boundaries; Heterogeneity; Systems theory,AGRICULTURAL COOPERATIVES; CONTROL RIGHTS; STAKEHOLDER THEORY; GRAND CHALLENGES; OWNERSHIP; MODELS; CORE,"In advancing the notion of stakeholder capitalism, the great reset of management and organization theory must address governance implications of stakeholder heterogeneity. The paper contributes to this task by focusing on the governance of agricultural cooperatives whose members often have heterogeneous preferences. The key novel idea is to conceptualize cooperative governance in the light of the proposed distinction between the core and peripheral activities of cooperatives. While core activities are based on members' truly common interests, peripheral activities include all else. This approach allows tracing governance challenges of agricultural co-operatives back to the inflation of peripheral activities. Based on this approach, cooperative managers and members are advised to minimize these activities and to draw clear boundaries between core and periphery.","[Iliopoulos, Constantine; Valentinov, Vladislav] Leibniz Inst Agr Dev Transit Economies IAMO, Theodor Lieser Str 2, D-06120 Halle, Saale, Germany; [Iliopoulos, Constantine] Agr Econ Res Inst AGRERI, Athens, Greece",,"Iliopoulos, C (corresponding author), Leibniz Inst Agr Dev Transit Economies IAMO, Theodor Lieser Str 2, D-06120 Halle, Saale, Germany.;Iliopoulos, C (corresponding author), Agr Econ Res Inst AGRERI, Athens, Greece.",iliopoulosC@agreri.gr; Valentinov@iamo.de,"Valentinov, Vladislav/V-2932-2019; Change, Structural/W-8306-2019; , IAMO/G-2328-2012; Iliopoulos, Constantine/F-9617-2014","Change, Structural/0000-0002-2459-4646; , IAMO/0000-0001-7922-9665; Iliopoulos, Constantine/0000-0002-1770-8270",,,,,107,6,6,5,12,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0956-5221,1873-3387,,SCAND J MANAG,Scand. J. Manag.,MAR,2022,38,1,,,,,,,101192,10.1016/j.scaman.2021.101192,http://dx.doi.org/10.1016/j.scaman.2021.101192,,,11,Management,Social Science Citation Index (SSCI),Business & Economics,0I4VC,,,,,2023-10-16,WOS:000779418100004,View Full Record in Web of Science
J,"Mikami, K; Tanaka, S",,,,"Mikami, Kazuhiko; Tanaka, Satoru",,,Food processing business and agriculture cooperatives in Japan: Market power and asymmetric information,ASIAN ECONOMIC JOURNAL,,,English,Article,,,,,,food processing business; agriculture cooperative; market power; asymmetric information,CONSUMER COOPERATIVES; CAPITALIST FIRMS; ENTERPRISE; FORM,"Food processing businesses run by agriculture cooperatives (in this paper referred to as food processing cooperatives) are basically firms that are owned by the suppliers of raw materials. Typically, in this type of firm, corporate decision-making is the responsibility of member farmers through the one member one-vote rule, and the surplus of the business is divided among them according to the amount of raw agricultural products they have supplied to the firm. This is in contrast to a conventional capitalistic firm, in which corporate decision-making is ultimately made by the stockholders through the one share-one vote rule, and the profit is divided among them according to the amount of financial capital they have supplied to the firm. Based upon statistical data and case studies, the present paper considers some economic factors that might influence the establishment of food processing cooperatives.","[Mikami, Kazuhiko] Univ Hyogo, Dept Appl Econ, Nishi Ward, Kobe, Hyogo 6512197, Japan; [Tanaka, Satoru] Kobe City Univ Foreign Studies, Nishi Ward, Kobe, Hyogo 6512187, Japan",University of Hyogo,"Mikami, K (corresponding author), Univ Hyogo, Dept Appl Econ, Nishi Ward, Kobe, Hyogo 6512197, Japan.",mikami@econ.u-hyogo.ac.jp; tanaka@inst.kobe-cufs.ac.jp,,,,,,,33,6,6,2,28,BLACKWELL PUBLISHING,OXFORD,"9600 GARSINGTON RD, OXFORD OX4 2DQ, OXON, ENGLAND",1351-3958,,,ASIAN ECON J,Asian Econ. J.,MAR,2008,22,1,,,,,83,107,,10.1111/j.1467-8381.2008.00270.x,http://dx.doi.org/10.1111/j.1467-8381.2008.00270.x,,,25,Economics,Social Science Citation Index (SSCI),Business & Economics,286KE,,,,,2023-10-16,WOS:000254844000005,View Full Record in Web of Science
J,"Liang, Q; Hendrikse, G; Huang, ZH; Xu, XC",,,,"Liang, Qiao; Hendrikse, George; Huang, Zuhui; Xu, Xuchu",,,Governance Structure of Chinese Farmer Cooperatives: Evidence From Zhejiang Province,AGRIBUSINESS,,,English,Article,,,,,,,AGRICULTURAL COOPERATIVES; MARKETING COOPERATIVES; PROPERTY-RIGHTS; ORGANIZATIONS; CONTRACTS; FUTURE,"The governance of farmer cooperatives in China is addressed regarding democratic decision-making procedures, participation in decision making, member exit, and profit allocation. Empirical results from a survey of fruit and vegetable cooperatives in the Zhejiang province (China) indicate that the distribution of ownership rights, decision rights, and income rights in a farmer cooperative is quite skewed towards a small proportion of members. Several governance practices by cooperatives are not in line with the requirements specified by the Law. [EconLit classification; D210; Q130].","[Liang, Qiao; Huang, Zuhui; Xu, Xuchu] Zhejiang Univ, Sch Management, China Acad Rural Dev, Hangzhou 310058, Zhejiang, Peoples R China; [Hendrikse, George] Erasmus Univ, Rotterdam Sch Management, NL-3000 DR Rotterdam, Netherlands; [Xu, Xuchu] Hangzhou Dianzi Univ, Sch Humanities, Hangzhou, Zhejiang, Peoples R China",Zhejiang University; Erasmus University Rotterdam; Erasmus University Rotterdam - Excl Erasmus MC; Hangzhou Dianzi University,"Liang, Q (corresponding author), Zhejiang Univ, Sch Management, China Acad Rural Dev, Yuhangtang 866, Hangzhou 310058, Zhejiang, Peoples R China.",liangqiao2323@126.com; ghendrikse@rsm.nl; zhhuang@zju.edu.cn; 888xxc@163.com,,"Liang, Qiao/0000-0001-7473-7863","Netherlands Organization for Scientific Research (NWO); National Natural Science Foundation of China [71333011, 71373063]; Zhejiang Philosophy and Social Science Project [13JDQY01YB]; Zhejiang Provincial Natural Science Foundation of China [LQ14G030041]",Netherlands Organization for Scientific Research (NWO)(Netherlands Organization for Scientific Research (NWO)); National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)); Zhejiang Philosophy and Social Science Project; Zhejiang Provincial Natural Science Foundation of China(Natural Science Foundation of Zhejiang Province),"This research is supported by grants from the Netherlands Organization for Scientific Research (NWO), and by the National Natural Science Foundation of China project (Grant No. 71333011, Grant No. 71373063), Zhejiang Philosophy and Social Science Project (Grant No. 13JDQY01YB), and Zhejiang Provincial Natural Science Foundation of China project (Grant No. LQ14G030041) during field work. We would like to specially thank Michael Cook and anonymous referees for their helpful comments.",,52,44,45,4,74,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0742-4477,1520-6297,,AGRIBUSINESS,Agribusiness,SPR,2015,31,2,,,,,198,214,,10.1002/agr.21400,http://dx.doi.org/10.1002/agr.21400,,,17,Agricultural Economics & Policy; Economics; Food Science & Technology,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Agriculture; Business & Economics; Food Science & Technology,CF8FN,,,,,2023-10-16,WOS:000352791600004,View Full Record in Web of Science
J,"Moyano-Estrada, E; Entrena, F; Serrano del Rosal, R",,,,"Moyano-Estrada, E; Entrena, F; Serrano del Rosal, R",,,Federations of co-operatives and organized interests in agriculture. An analysis of the Spanish experience,SOCIOLOGIA RURALIS,,,English,Article,,,,,,,,"This article considers federations of agricultural co-operatives as claim-oriented associations, characterized by integral goals, collective goods and ideological discourse. However, they differ from other claim-oriented associations, such as farmers' unions, in their tendency toward unitary models for the representation of the interests of agricultural co-operatives. The authors stress the importance of institutional factors in explaining this panorama. The Spanish case is used as an example of the influence of institutional factors on the process of the establishment of federations of agricultural co-operatives. In particular, it focuses on decision-making institutions, at the regional, national and European level, which have oriented such a process toward unitary models of representation.","CSIC, ISEA, Inst Adv Social Studies, Cordoba, Spain; Univ Granada, Granada, Spain",Consejo Superior de Investigaciones Cientificas (CSIC); CSIC-IESA - Instituto de Estudios Sociales Avanzados; University of Granada,"Moyano-Estrada, E (corresponding author), CSIC, ISEA, Inst Adv Social Studies, Cordoba, Spain.",,"SERRANO-DEL-ROSAL, RAFAEL/M-6001-2019; Entrena-Duran, Francisco/X-1737-2018; Serrano-del-Rosal, Rafael/H-8796-2015","SERRANO-DEL-ROSAL, RAFAEL/0000-0002-9488-8295; Entrena-Duran, Francisco/0000-0001-5717-9564; Serrano-del-Rosal, Rafael/0000-0002-9488-8295",,,,,21,1,1,0,5,WILEY-BLACKWELL,MALDEN,"COMMERCE PLACE, 350 MAIN ST, MALDEN 02148, MA USA",0038-0199,,,SOCIOL RURALIS,Sociol. Rural.,APR,2001,41,2,,,,,237,+,,10.1111/1467-9523.00180,http://dx.doi.org/10.1111/1467-9523.00180,,,18,Geography; Sociology,Social Science Citation Index (SSCI),Geography; Sociology,429EY,,,,,2023-10-16,WOS:000168504100005,View Full Record in Web of Science
J,"Chaddad, F; Iliopoulos, C",,,,"Chaddad, Fabio; Iliopoulos, Constantine",,,"Control Rights, Governance, and the Costs of Ownership in Agricultural Cooperatives",AGRIBUSINESS,,,English,Article,,,,,,,,"Agricultural cooperatives have changed considerably in recent decades. In witnessing these structural changes, scholars have proffered analyses of nontraditional ownership models focusing on residual claim rights. However, crucial information on the allocation of control rights in cooperatives is missing. This study sheds light on alternative ownership-control models adopted by agricultural cooperatives in different regions across the world. In each of these models, we describe the allocation of formal control rights with a focus on decision management and decision control rights. We thus provide empirical evidence on the separation of ownership and control in agricultural cooperatives. We also analyze each of the governance models in terms of the associated ownership costs, including risk-bearing costs, the costs of controlling managers, and collective decision-making costs. In doing so, we are able to better understand the forces influencing the organizational efficiency of each cooperative model. [EconLit classification: Q130]. (C) 2012 Wiley Periodicals, Inc.","[Chaddad, Fabio] Univ Missouri, Div Appl Social Sci, Columbia, MO 65211 USA; [Iliopoulos, Constantine] Agr Econ Res Inst, Athens, Greece",University of Missouri System; University of Missouri Columbia,"Chaddad, F (corresponding author), Univ Missouri, Div Appl Social Sci, Columbia, MO 65211 USA.",chaddadf@missouri.edu; iliopoulosC@agreri.gr,,"Nedanov, Aleksandar/0000-0002-4238-9275",,,,,51,91,95,4,201,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0742-4477,1520-6297,,AGRIBUSINESS,Agribusiness,WIN,2013,29,1,,,SI,,3,22,,10.1002/agr.21328,http://dx.doi.org/10.1002/agr.21328,,,20,Agricultural Economics & Policy; Economics; Food Science & Technology,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Agriculture; Business & Economics; Food Science & Technology,071KU,,,,,2023-10-16,WOS:000313592300002,View Full Record in Web of Science
J,"Iliopoulos, C; Valentinov, V",,,,"Iliopoulos, Constantine; Valentinov, Vladislav",,,Opportunism in agricultural cooperatives in Greece,OUTLOOK ON AGRICULTURE,,,English,Article,,,,,,leadership; cooperatives; opportunism; Greece,,"This paper compares the new institutional economics literature on agricultural cooperatives with their actual operation in Greece. The key contrast revealed by the comparison concerns the role of opportunism. New institutional economics explains cooperatives in terms of their ability to combat external opportunism, subject to the constraints of internal opportunism. In contrast, in Greek agricultural cooperatives internal opportunism is shown to inflate the formal organizational structure and to lower the cooperative's effectiveness in serving its members. The paper discusses some of the theoretical, policy and practical implications of this argument.","[Iliopoulos, Constantine] Agr Econ & Policy Res Inst, GR-11528 Athens, Greece; [Valentinov, Vladislav] Leibniz Inst Agr Dev Cent & Eastern Europe, D-06120 Halle, Saale, Germany",Leibniz Institut fur Agrarentwicklung in Transformationsokonomien (IAMO),"Iliopoulos, C (corresponding author), Agr Econ & Policy Res Inst, 1 N Chlorou St & Imitou Ave, GR-11528 Athens, Greece.",Kiliopoulos.inagrop@nagref.gr; valentinov@iamo.de,"Valentinov, Vladislav/V-2932-2019; Change, Structural/W-8306-2019; Iliopoulos, Constantine/F-9617-2014; , IAMO/G-2328-2012","Change, Structural/0000-0002-2459-4646; Iliopoulos, Constantine/0000-0002-1770-8270; , IAMO/0000-0001-7922-9665",Volkswagen Foundation,Volkswagen Foundation(Volkswagen),The second author gratefully acknowledges the financial support of the Volkswagen Foundation,,36,19,22,1,21,SAGE PUBLICATIONS LTD,LONDON,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND",0030-7270,2043-6866,,OUTLOOK AGR,Outlook Agric.,MAR,2012,41,1,,,,,15,19,,10.5367/oa.2012.0071,http://dx.doi.org/10.5367/oa.2012.0071,,,5,"Agriculture, Multidisciplinary",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Agriculture,925LZ,,,,,2023-10-16,WOS:000302764000003,View Full Record in Web of Science
J,"Lago, A; Amorim, GD; Boscardin, M; Zucatto, LC; Spanevello, RM",,,,"Lago, Adriano; Amorim, Gabrieli dos Santos; Boscardin, Mariele; Zucatto, Luis Carlos; Spanevello, Rosani Marisa",,,Analyzing decision-making factors in the generational succession of rural youth,JOURNAL OF CO-OPERATIVE ORGANIZATION AND MANAGEMENT,,,English,Article,,,,,,Associates; Agricultural cooperatives; Decision-making; Importance-performance matrix; Potential successors,UNDERSTANDING FARM SUCCESSION,"This paper analyzes the decision-making factors that influence the generational succession of young members or children of members of agricultural cooperatives in the grain, meat, and dairy segments in the southern region of Brazil. First, 25 factors that influence the process of generational succession, called decision-making factors, were identified through a literature review and dialogue with the cooperatives. Then, using the methodology adapted from Slack, Chambers and Johnston (2007), a sample of 308 young people between 18 and 30 years old eval-uated the level of importance and performance of the decision-making factors indicated. In the respondents' opinion, none of the 25 factors performed better than their importance, as all factors present the possibility of improvement. However, according to the evaluation methodology used in this paper, 20 factors (property size; access to technologies; access to media and information; labor availability; diversification of agricultural ac-tivities; income provided by agricultural activities; access to education; social interaction and number of people in the community; professional expectations; remuneration received by the youth; education; type of work performed; marriage; autonomy; family dialogue; encouragement and recognition; technical assistance; presence of the cooperative, union, and associations; and access to marketing) performed adequately and did not require improvements in any of the three cooperatives. On the other hand, five factors need improvement: leisure infrastructure; road infrastructure; social valorization; rural credit and public policies; and price, according to the grain cooperative; leisure infrastructure, road infrastructure, social valorization; and price, according to the dairy cooperative; and social valorization and price, according to meat cooperative. We concluded that a significant part of the factors (80 %) performed in an adequate way directly or indirectly in the three cooperatives. The youth of the three cooperatives indicated social valorization and price among the factors that need improvement. Thus, we highlight that agricultural cooperatives should seek to understand their role in the face of decision -making factors that need improvement and seek to improve them.","[Lago, Adriano] Fed Univ Santa UFSM, Dept Adm, Santa Maria, RS, Brazil; [Lago, Adriano] Fed Univ Santa UFSM, Grad Program Agribusiness, Santa Maria, RS, Brazil; [Amorim, Gabrieli dos Santos] Fed Univ Santa Maria UFSM, Agribusiness, Santa Maria, RS, Brazil; [Boscardin, Mariele] Fed Univ Rio Grande do Sul UFRGS, Postgrad Program Rural Extens UFSM, Rural Dev, Porto Alegre, RS, Brazil; [Zucatto, Luis Carlos] Fed Univ Santa Maria UFSM, Dept Adm, Santa Maria, RS, Brazil; [Zucatto, Luis Carlos; Spanevello, Rosani Marisa] Fed Univ Santa Maria UFSM, Postgrad Program Agribusiness, Santa Maria, RS, Brazil; [Spanevello, Rosani Marisa] Fed Univ Santa Maria UFSM, Dept Zootech & Biol Sci, Santa Maria, RS, Brazil",Universidade Federal de Santa Maria (UFSM); Universidade Federal do Rio Grande do Sul; Universidade Federal de Santa Maria (UFSM); Universidade Federal de Santa Maria (UFSM); Universidade Federal de Santa Maria (UFSM),"Lago, A (corresponding author), Fed Univ Santa UFSM, Dept Adm, Santa Maria, RS, Brazil.;Lago, A (corresponding author), Fed Univ Santa UFSM, Grad Program Agribusiness, Santa Maria, RS, Brazil.",adrianolago@yahoo.com.br; gabrieliamorim@hotmail.com; marieleboscardin@hotmail.com; luiszucatto@gmail.com; rspanevello@yahoo.com.br,,,National Council for Scientific and Technological Development (CNPQ); National Cooperative Learning Service (SES-COOP),National Council for Scientific and Technological Development (CNPQ)(Conselho Nacional de Desenvolvimento Cientifico e Tecnologico (CNPQ)); National Cooperative Learning Service (SES-COOP),"To the National Council for Scientific and Technological Development (CNPQ) and to the National Cooperative Learning Service (SES-COOP) , sponsors of the research.",,54,0,0,6,12,ELSEVIER,AMSTERDAM,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",2213-297X,2213-2988,,J CO-OP ORGAN MANAG,J. Co-Op. Organ. Manag.,DEC,2022,10,2,,,,,,,100187,10.1016/j.jcom.2022.100187,http://dx.doi.org/10.1016/j.jcom.2022.100187,,OCT 2022,10,Management,Emerging Sources Citation Index (ESCI),Business & Economics,5R7AH,,,,,2023-10-16,WOS:000874658400001,View Full Record in Web of Science
J,"De Gregori, R; Flores, SAM",,,,"De Gregori, Roberto; Mendonca Flores, Silvia Amelia",,,Risk management and cost management in the agricultural cooperatives of Rio Grande do Sul - RS,CUSTOS E AGRONEGOCIO,,,Portuguese,Article,,,,,,Risk management; Cost management; Agricultural cooperatives,,"The cooperative movement is na importante issue, witch seeks to establish bonds of cooperation and strenghen the humam capital. Thus, this study sought to determine how to present risk management and cost management in the agricultural cooperatives of Rio Grande do Sul. Therefore, we used a descriptive research, witch there were collected quantitative and qualitative data. The population chosen comprised cooperatives registered with the FECOAGRO. The ccoperatives that responded to the survey, formed a purposive sample was studied. The results obtained could be detected in relation to risk management, cooperatives still shows a conservatrive behavior, because in some situations fail to invest or encourage the production due to the risks involved in transactions, especially financial. Also, they do not have any specific risk business control, or risk management is not yet worked out with emphasis by agricultural cooperatives. Already, analyzing cost management, there is a more active stance. It was found that cooperatives employ cost controls, methods of costing and management controls that help into the decision making process. Cooperatives have shown that they area ware of the importance of cost control, witch represents a very positive aspect.","[De Gregori, Roberto] Univ Fed Santa Maria, UDESSM, Silveira Martins, RS, Brazil; [Mendonca Flores, Silvia Amelia] Univ Fed Santa Maria, Programa Pos Grad Adm, Santa Maria, RS, Brazil",Universidade Federal de Santa Maria (UFSM); Universidade Federal de Santa Maria (UFSM),"De Gregori, R (corresponding author), Univ Fed Santa Maria, UDESSM, Rua Francisco Guerino,407 Ctr, Silveira Martins, RS, Brazil.",robertodegregori@gmail.com; sisimflores@yahoo.com.br,"De Gregori, Roberto/IST-3397-2023; DE GREGORI, ROBERTO/AAW-6938-2020; Mendonça Flores, Silvia Amélia/GXA-0570-2022","Mendonça Flores, Silvia Amélia/0000-0002-0424-8375; De Gregori, Roberto/0000-0003-0980-3910",,,,,34,0,0,0,4,"UNIV FED RURAL PERNAMBUCO, DEPT LETRAS CIENCIAS HUMANAS",BAIRRO DE DOIS IRMAOS,"AV D MANOEL MEDEIROS S-N, BAIRRO DE DOIS IRMAOS, RECIFE PE CEP50670-901, BRAZIL",1808-2882,,,CUST AGRONEGOCIO,Custos Agronegocio,JAN-APR,2011,7,1,,,,,38,55,,,,,,18,Agricultural Economics & Policy; Business; Economics,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Agriculture; Business & Economics,858ZW,,,,,2023-10-16,WOS:000297844300003,View Full Record in Web of Science
